transaction_number,transaction_value
1523,168.093
1446,228.751
1865,214.211
1694,229.316
1759,218.475
1770,202.401
1845,228.702
1656,218.573
1769,237.509
2131,286.039
1863,232.493
2457,439.213
1415,214.832
1490,206.183
1721,239.016
1416,239.95
1731,221.967
1599,237.799
1587,240.391
1574,213.099
1633,231.778
1712,250.794
1865,273.368
2506,349.004
1073,159.996
908,129.8
1292,203.646
1714,269.798
204,240.185
1517,280.453
1600,277.169
1384,213.521
1494,226.951
1456,220.468
1632,253.519
2039,339.551
1232,204.443
1358,220.955
1390,239.542
1667,257.938
1732,309.496
1356,214.841
129,241.81
1492,257.405
1574,252.685
1611,207.616
1330,279.407
1795,283.836
894,152.301
882,160.49
1385,205.81
1161,200.686
1256,226.018
1318,233.177
1330,225.512
1401,247.245
1336,269.964
1371,210.77
1258,205.539
1646,321.302
1041,226.395
1213,201.465
1440,301.443
1358,220.442
1166,272.838
1276,215.574
1140,200.455
1340,251.0
1259,311.641
1415,253.662
1506,276.353
1539,255.869
