transaction_number,transaction_value
469,179.672
422,502.338
523,220.017
540,244.857
592,400.56
611,340.065
516,312.436
559,280.342
533,373.544
717,304.316
925,23.992
1117,599.198
409,208.727
431,284.376
542,371.756
501,239.474
557,394.861
533,447.222
469,247.481
513,286.88
553,415.255
507,444.624
570,307.115
916,492.86
364,176.052
333,174.326
299,176.2
560,296.167
515,297.959
553,324.049
533,318.328
400,245.108
471,319.075
558,492.046
547,300.705
921,582.023
395,433.823
452,226.236
529,260.777
538,340.665
521,515.116
490,238.155
441,237.252
447,243.356
530,341.588
458,284.168
449,210.212
673,348.164
254,266.641
305,164.716
416,211.102
375,233.454
414,218.756
500,235.809
395,394.021
392,20.98
418,232.992
404,222.747
446,244.619
741,371.27
303,141.757
442,500.932
405,217.064
470,297.91
400,201.682
474,270.022
378,201.686
476,282.233
417,286.562
408,168.748
507,269.303
700,515.327
