transaction_number,transaction_value
539,18.988
608,15.206
915,38.896
704,32.465
799,37.688
924,35.716
762,36.784
731,35.262
753,33.596
839,43.517
752,37.012
1066,42.374
666,33.419
396,22.855
591,32.547
712,36.864
749,39.682
674,40.714
661,36.105
713,38.884
825,62.986
774,33.443
724,33.998
948,44.042
586,29.673
663,30.755
670,32.377
863,41.144
775,34.696
722,34.974
746,31.842
709,35.375
892,38.111
757,34.088
842,41.95
742,48.607
593,37.079
634,31.415
691,33.419
727,40.11
716,55.859
663,42.07
508,37.027
893,48.445
936,42.879
784,38.564
810,40.973
145,47.744
357,22.714
477,21.658
762,38.1
698,28.487
759,33.424
756,38.146
704,46.859
965,45.48
803,42.696
762,33.738
710,32.772
962,51.427
536,19.919
729,41.907
784,45.019
807,46.032
602,26.837
636,31.268
689,37.114
911,37.075
800,35.583
903,39.955
1030,64.784
837,38.119
