transaction_number,transaction_value
731,80.659
704,111.395
964,119.069
886,109.788
921,122.125
913,120.925
779,113.032
993,136.946
1024,133.319
1111,143.112
950,114.677
1272,182.054
689,109.852
654,95.146
823,131.82
618,101.247
793,126.152
785,142.168
818,124.262
807,116.81
792,125.813
840,165.411
777,104.1
1036,143.382
654,106.447
542,90.707
692,115.106
825,125.542
766,133.566
820,153.359
861,166.566
772,108.859
736,115.545
790,135.102
810,133.925
849,146.164
718,105.085
703,107.202
738,127.795
824,140.109
741,162.739
663,113.379
1141,105.27
809,117.323
783,130.766
849,126.206
713,145.347
884,174.539
481,82.792
512,79.493
623,107.413
625,125.46
692,147.168
753,157.722
665,120.439
797,128.261
683,141.926
773,171.997
170,106.886
826,145.92
579,90.79
624,106.494
692,115.288
593,106.945
543,101.911
619,103.639
606,103.101
91,107.929
639,89.194
748,116.232
662,114.592
815,166.404
