transaction_number,transaction_value
621,34.869
595,30.049
739,32.345
633,34.863
721,38.696
666,32.268
686,34.383
573,37.597
683,35.774
755,40.423
603,33.097
968,42.233
633,34.57
627,26.729
630,43.045
546,34.217
561,37.216
556,37.2
543,33.045
391,23.344
653,50.2
629,35.759
550,29.975
674,52.28
460,23.928
422,32.194
492,37.806
603,26.529
521,53.196
490,28.844
515,36.804
454,29.439
550,28.541
466,41.914
499,33.148
561,29.285
453,29.553
537,35.601
497,24.077
597,38.162
590,41.57
548,36.204
607,33.634
545,44.526
590,39.738
445,40.437
468,28.159
556,32.312
400,33.171
415,25.535
509,26.992
471,23.727
543,36.065
519,27.172
447,33.856
611,32.35
384,34.319
514,36.33
527,36.712
555,32.538
429,28.713
507,34.828
520,39.424
489,39.705
458,29.661
475,30.813
429,37.235
530,33.724
461,25.447
548,32.385
581,39.532
586,42.618
