id,date,transaction_number,city,transaction_value
1,11-Jan,469,Beirut,179.672
2,11-Feb,422,Beirut,502.338
3,11-Mar,523,Beirut,220.017
4,11-Apr,540,Beirut,244.857
5,11-May,592,Beirut,400.56
6,11-Jun,611,Beirut,340.065
7,11-Jul,516,Beirut,312.436
8,11-Aug,559,Beirut,280.342
9,11-Sep,533,Beirut,373.544
10,11-Oct,717,Beirut,304.316
11,11-Nov,925,Beirut,23.992
12,11-Dec,1117,Beirut,599.198
13,12-Jan,409,Beirut,208.727
14,12-Feb,431,Beirut,284.376
15,12-Mar,542,Beirut,371.756
16,12-Apr,501,Beirut,239.474
17,12-May,557,Beirut,394.861
18,12-Jun,533,Beirut,447.222
19,12-Jul,469,Beirut,247.481
20,12-Aug,513,Beirut,286.88
21,12-Sep,553,Beirut,415.255
22,12-Oct,507,Beirut,444.624
23,12-Nov,570,Beirut,307.115
24,12-Dec,916,Beirut,492.86
25,13-Jan,364,Beirut,176.052
26,13-Feb,333,Beirut,174.326
27,13-Mar,299,Beirut,176.2
28,13-Apr,560,Beirut,296.167
29,13-May,515,Beirut,297.959
30,13-Jun,553,Beirut,324.049
31,13-Jul,533,Beirut,318.328
32,13-Aug,400,Beirut,245.108
33,13-Sep,471,Beirut,319.075
34,13-Oct,558,Beirut,492.046
35,13-Nov,547,Beirut,300.705
36,13-Dec,921,Beirut,582.023
37,14-Jan,395,Beirut,433.823
38,14-Feb,452,Beirut,226.236
39,14-Mar,529,Beirut,260.777
40,14-Apr,538,Beirut,340.665
41,14-May,521,Beirut,515.116
42,14-Jun,490,Beirut,238.155
43,14-Jul,441,Beirut,237.252
44,14-Aug,447,Beirut,243.356
45,14-Sep,530,Beirut,341.588
46,14-Oct,458,Beirut,284.168
47,14-Nov,449,Beirut,210.212
48,14-Dec,673,Beirut,348.164
49,15-Jan,254,Beirut,266.641
50,15-Feb,305,Beirut,164.716
51,15-Mar,416,Beirut,211.102
52,15-Apr,375,Beirut,233.454
53,15-May,414,Beirut,218.756
54,15-Jun,500,Beirut,235.809
55,15-Jul,395,Beirut,394.021
56,15-Aug,392,Beirut,20.98
57,15-Sep,418,Beirut,232.992
58,15-Oct,404,Beirut,222.747
59,15-Nov,446,Beirut,244.619
60,15-Dec,741,Beirut,371.27
61,16-Jan,303,Beirut,141.757
62,16-Feb,442,Beirut,500.932
63,16-Mar,405,Beirut,217.064
64,16-Apr,470,Beirut,297.91
65,16-May,400,Beirut,201.682
66,16-Jun,474,Beirut,270.022
67,16-Jul,378,Beirut,201.686
68,16-Aug,476,Beirut,282.233
69,16-Sep,417,Beirut,286.562
70,16-Oct,408,Beirut,168.748
71,16-Nov,507,Beirut,269.303
72,16-Dec,700,Beirut,515.327
73,11-Jan,1523,Baabda,168.093
74,11-Feb,1446,Baabda,228.751
75,11-Mar,1865,Baabda,214.211
76,11-Apr,1694,Baabda,229.316
77,11-May,1759,Baabda,218.475
78,11-Jun,1770,Baabda,202.401
79,11-Jul,1845,Baabda,228.702
80,11-Aug,1656,Baabda,218.573
81,11-Sep,1769,Baabda,237.509
82,11-Oct,2131,Baabda,286.039
83,11-Nov,1863,Baabda,232.493
84,11-Dec,2457,Baabda,439.213
85,12-Jan,1415,Baabda,214.832
86,12-Feb,1490,Baabda,206.183
87,12-Mar,1721,Baabda,239.016
88,12-Apr,1416,Baabda,239.95
89,12-May,1731,Baabda,221.967
90,12-Jun,1599,Baabda,237.799
91,12-Jul,1587,Baabda,240.391
92,12-Aug,1574,Baabda,213.099
93,12-Sep,1633,Baabda,231.778
94,12-Oct,1712,Baabda,250.794
95,12-Nov,1865,Baabda,273.368
96,12-Dec,2506,Baabda,349.004
97,13-Jan,1073,Baabda,159.996
98,13-Feb,908,Baabda,129.8
99,13-Mar,1292,Baabda,203.646
100,13-Apr,1714,Baabda,269.798
101,13-May,204,Baabda,240.185
102,13-Jun,1517,Baabda,280.453
103,13-Jul,1600,Baabda,277.169
104,13-Aug,1384,Baabda,213.521
105,13-Sep,1494,Baabda,226.951
106,13-Oct,1456,Baabda,220.468
107,13-Nov,1632,Baabda,253.519
108,13-Dec,2039,Baabda,339.551
109,14-Jan,1232,Baabda,204.443
110,14-Feb,1358,Baabda,220.955
111,14-Mar,1390,Baabda,239.542
112,14-Apr,1667,Baabda,257.938
113,14-May,1732,Baabda,309.496
114,14-Jun,1356,Baabda,214.841
115,14-Jul,129,Baabda,241.81
116,14-Aug,1492,Baabda,257.405
117,14-Sep,1574,Baabda,252.685
118,14-Oct,1611,Baabda,207.616
119,14-Nov,1330,Baabda,279.407
120,14-Dec,1795,Baabda,283.836
121,15-Jan,894,Baabda,152.301
122,15-Feb,882,Baabda,160.49
123,15-Mar,1385,Baabda,205.81
124,15-Apr,1161,Baabda,200.686
125,15-May,1256,Baabda,226.018
126,15-Jun,1318,Baabda,233.177
127,15-Jul,1330,Baabda,225.512
128,15-Aug,1401,Baabda,247.245
129,15-Sep,1336,Baabda,269.964
130,15-Oct,1371,Baabda,210.77
131,15-Nov,1258,Baabda,205.539
132,15-Dec,1646,Baabda,321.302
133,16-Jan,1041,Baabda,226.395
134,16-Feb,1213,Baabda,201.465
135,16-Mar,1440,Baabda,301.443
136,16-Apr,1358,Baabda,220.442
137,16-May,1166,Baabda,272.838
138,16-Jun,1276,Baabda,215.574
139,16-Jul,1140,Baabda,200.455
140,16-Aug,1340,Baabda,251
141,16-Sep,1259,Baabda,311.641
142,16-Oct,1415,Baabda,253.662
143,16-Nov,1506,Baabda,276.353
144,16-Dec,1539,Baabda,255.869
145,11-Jan,731,Kesrouan,80.659
146,11-Feb,704,Kesrouan,111.395
147,11-Mar,964,Kesrouan,119.069
148,11-Apr,886,Kesrouan,109.788
149,11-May,921,Kesrouan,122.125
150,11-Jun,913,Kesrouan,120.925
151,11-Jul,779,Kesrouan,113.032
152,11-Aug,993,Kesrouan,136.946
153,11-Sep,1024,Kesrouan,133.319
154,11-Oct,1111,Kesrouan,143.112
155,11-Nov,950,Kesrouan,114.677
156,11-Dec,1272,Kesrouan,182.054
157,12-Jan,689,Kesrouan,109.852
158,12-Feb,654,Kesrouan,95.146
159,12-Mar,823,Kesrouan,131.82
160,12-Apr,618,Kesrouan,101.247
161,12-May,793,Kesrouan,126.152
162,12-Jun,785,Kesrouan,142.168
163,12-Jul,818,Kesrouan,124.262
164,12-Aug,807,Kesrouan,116.81
165,12-Sep,792,Kesrouan,125.813
166,12-Oct,840,Kesrouan,165.411
167,12-Nov,777,Kesrouan,104.1
168,12-Dec,1036,Kesrouan,143.382
169,13-Jan,654,Kesrouan,106.447
170,13-Feb,542,Kesrouan,90.707
171,13-Mar,692,Kesrouan,115.106
172,13-Apr,825,Kesrouan,125.542
173,13-May,766,Kesrouan,133.566
174,13-Jun,820,Kesrouan,153.359
175,13-Jul,861,Kesrouan,166.566
176,13-Aug,772,Kesrouan,108.859
177,13-Sep,736,Kesrouan,115.545
178,13-Oct,790,Kesrouan,135.102
179,13-Nov,810,Kesrouan,133.925
180,13-Dec,849,Kesrouan,146.164
181,14-Jan,718,Kesrouan,105.085
182,14-Feb,703,Kesrouan,107.202
183,14-Mar,738,Kesrouan,127.795
184,14-Apr,824,Kesrouan,140.109
185,14-May,741,Kesrouan,162.739
186,14-Jun,663,Kesrouan,113.379
187,14-Jul,1141,Kesrouan,105.27
188,14-Aug,809,Kesrouan,117.323
189,14-Sep,783,Kesrouan,130.766
190,14-Oct,849,Kesrouan,126.206
191,14-Nov,713,Kesrouan,145.347
192,14-Dec,884,Kesrouan,174.539
193,15-Jan,481,Kesrouan,82.792
194,15-Feb,512,Kesrouan,79.493
195,15-Mar,623,Kesrouan,107.413
196,15-Apr,625,Kesrouan,125.46
197,15-May,692,Kesrouan,147.168
198,15-Jun,753,Kesrouan,157.722
199,15-Jul,665,Kesrouan,120.439
200,15-Aug,797,Kesrouan,128.261
201,15-Sep,683,Kesrouan,141.926
202,15-Oct,773,Kesrouan,171.997
203,15-Nov,170,Kesrouan,106.886
204,15-Dec,826,Kesrouan,145.92
205,16-Jan,579,Kesrouan,90.79
206,16-Feb,624,Kesrouan,106.494
207,16-Mar,692,Kesrouan,115.288
208,16-Apr,593,Kesrouan,106.945
209,16-May,543,Kesrouan,101.911
210,16-Jun,619,Kesrouan,103.639
211,16-Jul,606,Kesrouan,103.101
212,16-Aug,91,Kesrouan,107.929
213,16-Sep,639,Kesrouan,89.194
214,16-Oct,748,Kesrouan,116.232
215,16-Nov,662,Kesrouan,114.592
216,16-Dec,815,Kesrouan,166.404
217,11-Jan,621,Tripoli,34.869
218,11-Feb,595,Tripoli,30.049
219,11-Mar,739,Tripoli,32.345
220,11-Apr,633,Tripoli,34.863
221,11-May,721,Tripoli,38.696
222,11-Jun,666,Tripoli,32.268
223,11-Jul,686,Tripoli,34.383
224,11-Aug,573,Tripoli,37.597
225,11-Sep,683,Tripoli,35.774
226,11-Oct,755,Tripoli,40.423
227,11-Nov,603,Tripoli,33.097
228,11-Dec,968,Tripoli,42.233
229,12-Jan,633,Tripoli,34.57
230,12-Feb,627,Tripoli,26.729
231,12-Mar,630,Tripoli,43.045
232,12-Apr,546,Tripoli,34.217
233,12-May,561,Tripoli,37.216
234,12-Jun,556,Tripoli,37.2
235,12-Jul,543,Tripoli,33.045
236,12-Aug,391,Tripoli,23.344
237,12-Sep,653,Tripoli,50.2
238,12-Oct,629,Tripoli,35.759
239,12-Nov,550,Tripoli,29.975
240,12-Dec,674,Tripoli,52.28
