date,city,transaction_number,transaction_value
2017-01-01,Baabda,1935.3499147128293,294.9723686897918
2017-02-01,Baabda,1787.87602453358,273.90202272872955
2017-03-01,Baabda,1760.243005147002,270.4634690548589
2017-04-01,Baabda,1708.6481451914435,264.0422678132731
2017-05-01,Baabda,1613.74060123814,251.40800356730384
2017-06-01,Baabda,1514.1497996456221,238.47073014751632
2017-07-01,Baabda,1511.2844261535,240.52757243136668
2017-08-01,Baabda,1538.8090547915815,252.85085632594118
2017-09-01,Baabda,1506.2677913914206,270.40958528678647
2017-10-01,Baabda,1775.4411730068807,270.87219205531534
2017-11-01,Baabda,1117.9663556984995,258.12224130857817
2017-12-01,Baabda,1510.282855332733,265.6754019789957
2018-01-01,Baabda,1783.1593716039922,287.997849375028
2018-02-01,Baabda,1749.88427548692,271.87354948297934
2018-03-01,Baabda,1435.8683601060934,222.6022911322225
2018-04-01,Baabda,516.775125903142,219.20178329717817
2018-05-01,Baabda,530.9499152418591,218.40398677112117
2018-06-01,Baabda,741.9772741525031,217.7759867700366
2018-07-01,Baabda,607.4127509082105,234.77887403161523
2018-08-01,Baabda,1120.0063473156176,236.10398657997803
2018-09-01,Baabda,2075.493826545558,326.76532343250136
2018-10-01,Baabda,1401.424428825953,252.40337390962642
2018-11-01,Baabda,741.0626462428806,226.12938057101064
2018-12-01,Baabda,1197.5380481917427,301.8296351151808
2019-01-01,Baabda,1451.8261268767492,311.80464142345886
2019-02-01,Baabda,2001.7072203560244,309.002929144142
2019-03-01,Baabda,2006.599342505289,308.7651165450006
2019-04-01,Baabda,2007.9925882618577,308.51160525115597
2019-05-01,Baabda,638.931571431121,225.05619552356788
2019-06-01,Baabda,738.9062029451068,212.69982602075515
2019-07-01,Baabda,707.8465676648302,198.21852854265163
2019-08-01,Baabda,839.1798806476733,229.33525591950644
2019-09-01,Baabda,2013.1076815524516,309.55770918001963
2019-10-01,Baabda,2027.2153204473793,312.76170486218734
2019-11-01,Baabda,2022.0222088491028,305.105493225763
2019-12-01,Baabda,2013.5518964925045,303.7089011439785
2020-01-01,Baabda,2004.1813507479965,303.2012171922107
2020-02-01,Baabda,1991.3440283942114,304.2521595214375
2020-03-01,Baabda,1952.816083413755,303.7605571593658
2020-04-01,Baabda,1828.644764709046,294.36161636769936
2020-05-01,Baabda,1368.107732541131,255.233629270222
2020-06-01,Baabda,2020.2430459654177,311.1651719769093
2020-07-01,Baabda,1919.2893710571452,292.68049849765646
2020-08-01,Baabda,2071.0489421859056,332.85679987236483
2020-09-01,Baabda,2038.9357718614792,354.8405418386627
2020-10-01,Baabda,1810.1901242021124,318.17155859766154
2020-11-01,Baabda,817.8035840687206,229.75884220740926
2020-12-01,Baabda,642.448656893784,203.0557454121313
2021-01-01,Baabda,1924.8789077833885,325.0343247874922
2021-02-01,Baabda,1964.0528788983092,322.678685174744
2021-03-01,Baabda,1960.7949667990827,315.4444412246621
2021-04-01,Baabda,1967.114593666592,313.3659827780385
2021-05-01,Baabda,1954.6499454799477,308.5296361244515
2021-06-01,Baabda,1487.1649655717656,283.0227380952002
2021-07-01,Baabda,1921.0662308173562,300.43967407849823
2021-08-01,Baabda,1806.281147885822,278.9549661179953
2021-09-01,Baabda,1877.239230558818,297.23313736592405
2021-10-01,Baabda,795.2696800536356,259.7056165295594
2021-11-01,Baabda,763.9469129164517,233.11213212811876
2021-12-01,Baabda,1086.7653662150046,233.2660907238451
2022-01-01,Baabda,1318.76028926057,236.68556926534902
2022-02-01,Baabda,901.0577550791053,195.07322022028376
2022-03-01,Baabda,456.6510799971806,269.3376533502291
2022-04-01,Baabda,1863.324334309623,288.81632223069425
2022-05-01,Baabda,2066.7647006885663,343.95041649768154
2022-06-01,Baabda,938.9280143625102,265.2184690180869
2022-07-01,Baabda,967.1621489758088,213.34448195402487
2022-08-01,Baabda,1917.3130032259971,355.111248598546
2022-09-01,Baabda,1290.6913317839244,310.8497709287799
2022-10-01,Baabda,772.4965390876865,274.7212439700634
2022-11-01,Baabda,879.343043294688,243.99980346028266
2022-12-01,Baabda,512.2456737284276,270.03723731064247
2023-01-01,Baabda,878.0826589735274,245.3806446344103
2023-02-01,Baabda,1039.392995258638,270.1768547484581
2023-03-01,Baabda,1180.205388679702,275.2114017737534
2023-04-01,Baabda,1129.6790340708744,249.53872761695365
2023-05-01,Baabda,1625.7381471952085,297.4498559318278
2023-06-01,Baabda,1926.331171078979,321.30196882394745
2023-07-01,Baabda,1991.6168045806662,319.79186578112666
2023-08-01,Baabda,1976.6748592072731,307.86924668784275
2023-09-01,Baabda,1773.7288007039426,264.1166538677762
2023-10-01,Baabda,875.2190128240106,184.05099610679943
2023-11-01,Baabda,1201.1826691167798,243.73736375137946
2023-12-01,Baabda,567.8615713518095,292.2957064342476
2024-01-01,Baabda,1407.6240053823788,246.81103590146498
2024-02-01,Baabda,1465.66358059913,327.5001337322489
2024-03-01,Baabda,1001.6544458489038,261.8269592153725
2024-04-01,Baabda,843.0471848236052,249.02406453372691
2024-05-01,Baabda,1064.2120295956076,241.76729939634342
2024-06-01,Baabda,1517.0035135751573,308.53555359252147
2024-07-01,Baabda,1960.1649185837198,300.5992890775268
2024-08-01,Baabda,1944.6028572149448,296.6435312900229
2024-09-01,Baabda,973.2122384242487,260.81846601738886
2024-10-01,Baabda,835.057001738733,239.16201224831389
2024-11-01,Baabda,1617.7202546560393,299.06908404758593
2024-12-01,Baabda,1240.259549182749,245.82435031375095
2025-01-01,Baabda,1710.8798718377745,279.0812866569713
2025-02-01,Baabda,1389.9030536471394,285.1370320322829
2025-03-01,Baabda,1803.289678383497,279.0447375894803
2025-04-01,Baabda,1765.476277460857,263.20398884389033
2025-05-01,Baabda,1614.4927149976265,239.06232031565276
2025-06-01,Baabda,1369.3838068909586,211.0817465899752
2025-07-01,Baabda,1014.3008968447789,188.60097211443556
2025-08-01,Baabda,1927.5912675097052,293.84171458479886
2025-09-01,Baabda,1894.2666542379413,305.2725398685147
2025-10-01,Baabda,1318.4752777306594,263.41952391618014
2025-11-01,Baabda,1646.6695091080226,278.7901298236109
2025-12-01,Baabda,1787.9894533646755,269.2845701807779
2026-01-01,Baabda,1166.336554899988,240.9199179687236
2026-02-01,Baabda,1956.3970085802137,301.3113519338407
2026-03-01,Baabda,1947.4502375549262,310.1939762320843
2026-04-01,Baabda,564.7011821371862,218.21267850928257
2026-05-01,Baabda,1628.1870871741835,329.37990448626437
2026-06-01,Baabda,1260.4403087608566,249.9720777271719
2026-07-01,Baabda,1745.5847757965653,285.6264066416694
2026-08-01,Baabda,1097.1984435797324,222.1152835100639
2026-09-01,Baabda,1646.5657246064743,293.63054799629026
2026-10-01,Baabda,1586.1509093619172,301.05811910908164
2026-11-01,Baabda,501.84440825668463,268.7516325638057
2026-12-01,Baabda,1959.5491209448521,305.5447085910976
2027-01-01,Baabda,816.4113459286721,230.56608927806036
